id,claim,sentence,evidence,role
468,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"However, the concept of overuse has proved too simplistic, for, although the evidence of overprescribing as the …",False,BACKGROUND
469,Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.,"BACKGROUND Human immunodeficiency virus (HIV) infection is the strongest risk factor for developing tuberculosis and has fuelled its resurgence, especially in sub-Saharan Africa.",False,BACKGROUND
470,Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.,"In 2010, there were an estimated 1.1 million incident cases of tuberculosis among the 34 million people living with HIV worldwide.",False,BACKGROUND
471,Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.,Antiretroviral therapy has substantial potential to prevent HIV-associated tuberculosis.,False,BACKGROUND
472,Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.,"We conducted a systematic review of studies that analysed the impact of antiretroviral therapy on the incidence of tuberculosis in adults with HIV infection.   
",False,BACKGROUND
473,Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.,"METHODS AND FINDINGS PubMed, Embase, African Index Medicus, LILACS, and clinical trial registries were systematically searched.",False,METHODS
474,Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.,"Randomised controlled trials, prospective cohort studies, and retrospective cohort studies were included if they compared tuberculosis incidence by antiretroviral therapy status in HIV-infected adults for a median of over 6 mo in developing countries.",False,METHODS
475,Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.,"For the meta-analyses there were four categories based on CD4 counts at antiretroviral therapy initiation: (1) less than 200 cells/µl, (2) 200 to 350 cells/µl, (3) greater than 350 cells/µl, and (4) any CD4 count.",False,METHODS
476,Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.,Eleven studies met the inclusion criteria.,False,RESULTS
477,Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.,"Antiretroviral therapy is strongly associated with a reduction in the incidence of tuberculosis in all baseline CD4 count categories: (1) less than 200 cells/µl (hazard ratio [HR] 0.16, 95% confidence interval [CI] 0.07 to 0.36), (2) 200 to 350 cells/µl (HR 0.34, 95% CI 0.19 to 0.60), (3) greater than 350 cells/µl (HR 0.43, 95% CI 0.30 to 0.63), and (4) any CD4 count (HR 0.35, 95% CI 0.28 to 0.44).",True,RESULTS
478,Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.,"There was no evidence of hazard ratio modification with respect to baseline CD4 count category (p = 0.20).   
",False,RESULTS
479,Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.,CONCLUSIONS Antiretroviral therapy is strongly associated with a reduction in the incidence of tuberculosis across all CD4 count strata.,True,CONCLUSIONS
480,Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.,Earlier initiation of antiretroviral therapy may be a key component of global and national strategies to control the HIV-associated tuberculosis syndemic.   ,False,CONCLUSIONS
481,Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.,REVIEW REGISTRATION International Prospective Register of Systematic Reviews CRD42011001209 Please see later in the article for the Editors' Summary.,False,CONCLUSIONS
482,Asymptomatic visual impairment screening in elderly populations leads to improved vision.,"OBJECTIVE To assess whether population screening for impaired vision among older people in the community leads to improvements in vision.   
",False,OBJECTIVE
483,Asymptomatic visual impairment screening in elderly populations leads to improved vision.,DESIGN Systematic review of randomised controlled trials of population screening in the community that included any assessment of vision or visual function with at least 6 months' follow up.   ,False,METHODS
484,Asymptomatic visual impairment screening in elderly populations leads to improved vision.,"SUBJECTS Adults aged 65 or over.   
",False,METHODS
485,Asymptomatic visual impairment screening in elderly populations leads to improved vision.,"MAIN OUTCOME MEASURE Proportions with visual impairment in intervention and control groups with any method of assessing visual impairment.   
",False,METHODS
486,Asymptomatic visual impairment screening in elderly populations leads to improved vision.,RESULTS There were no trials that primarily assessed visual screening.,False,METHODS
487,Asymptomatic visual impairment screening in elderly populations leads to improved vision.,Outcome data on vision were available for 3494 people in five trials of multiphasic assessment.,False,METHODS
488,Asymptomatic visual impairment screening in elderly populations leads to improved vision.,"All the trials used self reported measures for vision impairment, both as screening tools and as outcome measures.",False,METHODS
489,Asymptomatic visual impairment screening in elderly populations leads to improved vision.,The inclusion of a visual screening component in the assessment did not result in improvements in self reported visual problems (pooled odds ratio 1.04:95% confidence interval 0.89 to 1.22).,True,RESULTS
490,Asymptomatic visual impairment screening in elderly populations leads to improved vision.,"A small reduction (11%) in the number of older people with self reported visual problems cannot be excluded.   
",False,CONCLUSIONS
491,Asymptomatic visual impairment screening in elderly populations leads to improved vision.,CONCLUSIONS Screening of asymptomatic older people in the community is not justified on present evidence.,True,CONCLUSIONS
492,Asymptomatic visual impairment screening in elderly populations leads to improved vision.,Visual impairment in this age group can usually be reduced with treatment.,False,CONCLUSIONS
493,Asymptomatic visual impairment screening in elderly populations leads to improved vision.,It is unclear why no benefit was seen.,False,CONCLUSIONS
494,Asymptomatic visual impairment screening in elderly populations leads to improved vision.,Further work is needed to clarify what interventions are appropriate for older people with unreported impairment of vision.,False,CONCLUSIONS
495,Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,"CONTEXT Antibody-based induction therapy plus calcineurin inhibitors (CNIs) reduce acute rejection rates in kidney recipients; however, opportunistic infections and toxic CNI effects remain challenging.",False,OBJECTIVE
496,Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,"Reportedly, mesenchymal stem cells (MSCs) have successfully treated graft-vs-host disease.   
",False,OBJECTIVE
497,Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,"OBJECTIVE To assess autologous MSCs as replacement of antibody induction for patients with end-stage renal disease who undergo ABO-compatible, cross-match-negative kidney transplants from a living-related donor.   
",False,OBJECTIVE
498,Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,"DESIGN, SETTING, AND PATIENTS One hundred fifty-nine patients were enrolled in this single-site, prospective, open-label, randomized study from February 2008-May 2009, when recruitment was completed.   
",False,METHODS
499,Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,INTERVENTION Patients were inoculated with marrow-derived autologous MSC (1-2 x 10(6)/kg) at kidney reperfusion and two weeks later.,False,METHODS
500,Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,"Fifty-three patients received standard-dose and 52 patients received low-dose CNIs (80% of standard); 51 patients in the control group received anti-IL-2 receptor antibody plus standard-dose CNIs.   
",False,METHODS
501,Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,"MAIN OUTCOME MEASURES The primary measure was 1-year incidence of acute rejection and renal function (estimated glomerular filtration rate [eGFR]); the secondary measure was patient and graft survival and incidence of adverse events.   
",False,METHODS
502,Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,RESULTS Patient and graft survival at 13 to 30 months was similar in all groups.,False,RESULTS
503,Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,"After 6 months, 4 of 53 patients (7.5%) in the autologous MSC plus standard-dose CNI group (95% CI, 0.4%-14.7%; P = .04) and 4 of 52 patients (7.7%) in the low-dose group (95% CI, 0.5%-14.9%; P = .046) compared with 11 of 51 controls (21.6%; 95% CI, 10.5%-32.6%) had biopsy-confirmed acute rejection.",True,RESULTS
504,Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,"None of the patients in either autologous MSC group had glucorticoid-resistant rejection, whereas 4 patients (7.8%) in the control group did (95% CI, 0.6%-15.1%; overall P = .02).",False,RESULTS
505,Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,Renal function recovered faster among both MSC groups showing increased eGFR levels during the first month after surgery than the control group.,True,RESULTS
506,Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,"Patients receiving standard-dose CNI had a mean difference of 6.2 mL/min per 1.73 m(2) (95% CI, 0.4-11.9; P=.04) and those in the low-dose CNI of 10.0 mL/min per 1.73 m(2) (95% CI, 3.8-16.2; P=.002).",False,RESULTS
507,Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,"Also, during the 1-year follow-up, combined analysis of MSC-treated groups revealed significantly decreased risk of opportunistic infections than the control group (hazard ratio, 0.42; 95% CI, 0.20-0.85, P=.02)   CONCLUSION Among patients undergoing renal transplant, the use of autologous MSCs compared with anti-IL-2 receptor antibody induction therapy resulted in lower incidence of acute rejection, decreased risk of opportunistic infection, and better estimated renal function at 1 year.   
",True,CONCLUSIONS
508,Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,TRIAL REGISTRATION clinicaltrials.gov Identifier: NCT00658073.,False,CONCLUSIONS
509,Autophagy deficiency in the liver increases vulnerability to insulin resistance.,"Despite growing interest and a recent surge in papers, the role of autophagy in glucose and lipid metabolism is unclear.",False,BACKGROUND
510,Autophagy deficiency in the liver increases vulnerability to insulin resistance.,We produced mice with skeletal muscle–specific deletion of Atg7 (encoding autophagy-related 7).,False,BACKGROUND
511,Autophagy deficiency in the liver increases vulnerability to insulin resistance.,"Unexpectedly, these mice showed decreased fat mass and were protected from diet-induced obesity and insulin resistance; this phenotype was accompanied by increased fatty acid oxidation and browning of white adipose tissue (WAT) owing to induction of fibroblast growth factor 21 (Fgf21).",True,RESULTS
512,Autophagy deficiency in the liver increases vulnerability to insulin resistance.,"Mitochondrial dysfunction induced by autophagy deficiency increased Fgf21 expression through induction of Atf4, a master regulator of the integrated stress response.",False,RESULTS
513,Autophagy deficiency in the liver increases vulnerability to insulin resistance.,Mitochondrial respiratory chain inhibitors also induced Fgf21 in an Atf4-dependent manner.,False,RESULTS
514,Autophagy deficiency in the liver increases vulnerability to insulin resistance.,"We also observed induction of Fgf21, resistance to diet-induced obesity and amelioration of insulin resistance in mice with autophagy deficiency in the liver, another insulin target tissue.",True,RESULTS
515,Autophagy deficiency in the liver increases vulnerability to insulin resistance.,"These findings suggest that autophagy deficiency and subsequent mitochondrial dysfunction promote Fgf21 expression, a hormone we consequently term a 'mitokine', and together these processes promote protection from diet-induced obesity and insulin resistance.",True,CONCLUSIONS
516,B cells go though plasmablast differentiation and antibody production by continuous expression of EBI2.,Humoral immunity depends on both rapid and long-term antibody production against invading pathogens.,False,BACKGROUND
517,B cells go though plasmablast differentiation and antibody production by continuous expression of EBI2.,"This is achieved by the generation of spatially distinct extrafollicular plasmablast and follicular germinal center (GC) B cell populations, but the signals that guide responding B cells to these alternative compartments have not been fully elucidated.",False,BACKGROUND
518,B cells go though plasmablast differentiation and antibody production by continuous expression of EBI2.,"Here, we show that expression of the orphan G protein-coupled receptor Epstein-Barr virus-induced gene 2 (EBI2, also known as GPR183) by activated B cells was essential for their movement to extrafollicular sites and induction of early plasmablast responses.",True,RESULTS
519,B cells go though plasmablast differentiation and antibody production by continuous expression of EBI2.,"Conversely, downregulation of EBI2 enabled B cells to access the center of follicles and promoted efficient GC formation.",False,RESULTS
520,B cells go though plasmablast differentiation and antibody production by continuous expression of EBI2.,EBI2 therefore provides a previously uncharacterized dimension to B cell migration that is crucial for coordinating rapid versus long-term antibody responses.,True,CONCLUSIONS
521,BCL-2 activation antagonizes the apoptotic effects of c-Myc.,"Resistance to apoptosis, often achieved by the overexpression of antiapoptotic proteins, is common and perhaps required in the genesis of cancer.",False,BACKGROUND
522,BCL-2 activation antagonizes the apoptotic effects of c-Myc.,"However, it remains uncertain whether apoptotic defects are essential for tumor maintenance.",False,BACKGROUND
523,BCL-2 activation antagonizes the apoptotic effects of c-Myc.,"To test this, we generated mice expressing a conditional BCL-2 gene and constitutive c-myc that develop lymphoblastic leukemia.",False,BACKGROUND
524,BCL-2 activation antagonizes the apoptotic effects of c-Myc.,"Eliminating BCL-2 yielded rapid loss of leukemic cells and significantly prolonged survival, formally validating BCL-2 as a rational target for cancer therapy.",True,BACKGROUND
525,BCL-2 activation antagonizes the apoptotic effects of c-Myc.,"Loss of this single molecule resulted in cell death, despite or perhaps attributable to the presence of other oncogenic events.",False,BACKGROUND
526,BCL-2 activation antagonizes the apoptotic effects of c-Myc.,This suggests a generalizable model in which aberrations inherent to cancer generate tonic death signals that would otherwise kill the cell if not opposed by a requisite apoptotic defect(s).,False,BACKGROUND
527,BCL-2 promotes the apoptotic effects of c-Myc.,"Resistance to apoptosis, often achieved by the overexpression of antiapoptotic proteins, is common and perhaps required in the genesis of cancer.",False,BACKGROUND
528,BCL-2 promotes the apoptotic effects of c-Myc.,"However, it remains uncertain whether apoptotic defects are essential for tumor maintenance.",False,BACKGROUND
529,BCL-2 promotes the apoptotic effects of c-Myc.,"To test this, we generated mice expressing a conditional BCL-2 gene and constitutive c-myc that develop lymphoblastic leukemia.",False,BACKGROUND
530,BCL-2 promotes the apoptotic effects of c-Myc.,"Eliminating BCL-2 yielded rapid loss of leukemic cells and significantly prolonged survival, formally validating BCL-2 as a rational target for cancer therapy.",True,BACKGROUND
531,BCL-2 promotes the apoptotic effects of c-Myc.,"Loss of this single molecule resulted in cell death, despite or perhaps attributable to the presence of other oncogenic events.",False,BACKGROUND
532,BCL-2 promotes the apoptotic effects of c-Myc.,This suggests a generalizable model in which aberrations inherent to cancer generate tonic death signals that would otherwise kill the cell if not opposed by a requisite apoptotic defect(s).,False,BACKGROUND
533,BLM gene encodes RecQ-class DNA helicase.,"The Bloom's syndrome (BS) gene, BLM, plays an important role in the maintenance of genomic stability in somatic cells.",False,BACKGROUND
534,BLM gene encodes RecQ-class DNA helicase.,A candidate for BLM was identified by direct selection of a cDNA derived from a 250 kb segment of the genome to which BLM had been assigned by somatic crossover point mapping.,False,METHODS
535,BLM gene encodes RecQ-class DNA helicase.,"In this novel mapping method, cells were used from persons with BS that had undergone intragenic recombination within BLM.",False,METHODS
536,BLM gene encodes RecQ-class DNA helicase.,"cDNA analysis of the candidate gene identified a 4437 bp cDNA that encodes a 1417 amino acid peptide with homology to the RecQ helicases, a subfamily of DExH box-containing DNA and RNA helicases.",True,RESULTS
537,BLM gene encodes RecQ-class DNA helicase.,The presence of chain-terminating mutations in the candidate gene in persons with BS proved that it was BLM.,False,RESULTS
538,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,"IMPORTANCE Limited information about the relationship between specific mutations in BRCA1 or BRCA2 (BRCA1/2) and cancer risk exists.   
",False,BACKGROUND
539,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,"OBJECTIVE To identify mutation-specific cancer risks for carriers of BRCA1/2.   
",False,OBJECTIVE
540,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,"DESIGN, SETTING, AND PARTICIPANTS Observational study of women who were ascertained between 1937 and 2011 (median, 1999) and found to carry disease-associated BRCA1 or BRCA2 mutations.",False,METHODS
541,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,"The international sample comprised 19,581 carriers of BRCA1 mutations and 11,900 carriers of BRCA2 mutations from 55 centers in 33 countries on 6 continents.",False,METHODS
542,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,"We estimated hazard ratios for breast and ovarian cancer based on mutation type, function, and nucleotide position.",False,METHODS
543,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,"We also estimated RHR, the ratio of breast vs ovarian cancer hazard ratios.",False,METHODS
544,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,A value of RHR greater than 1 indicated elevated breast cancer risk; a value of RHR less than 1 indicated elevated ovarian cancer risk.   ,False,METHODS
545,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,"EXPOSURES Mutations of BRCA1 or BRCA2.   
",False,METHODS
546,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,"MAIN OUTCOMES AND MEASURES Breast and ovarian cancer risks.   
",False,METHODS
547,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,"RESULTS Among BRCA1 mutation carriers, 9052 women (46%) were diagnosed with breast cancer, 2317 (12%) with ovarian cancer, 1041 (5%) with breast and ovarian cancer, and 7171 (37%) without cancer.",False,RESULTS
548,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,"Among BRCA2 mutation carriers, 6180 women (52%) were diagnosed with breast cancer, 682 (6%) with ovarian cancer, 272 (2%) with breast and ovarian cancer, and 4766 (40%) without cancer.",False,RESULTS
549,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,"In BRCA1, we identified 3 breast cancer cluster regions (BCCRs) located at c.179 to c.505 (BCCR1; RHR = 1.46; 95% CI, 1.22-1.74; P = 2 × 10(-6)), c.4328 to c.4945 (BCCR2; RHR = 1.34; 95% CI, 1.01-1.78; P = .04), and c. 5261 to c.5563 (BCCR2', RHR = 1.38; 95% CI, 1.22-1.55; P = 6 × 10(-9)).",False,RESULTS
550,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,"We also identified an ovarian cancer cluster region (OCCR) from c.1380 to c.4062 (approximately exon 11) with RHR = 0.62 (95% CI, 0.56-0.70; P = 9 × 10(-17)).",False,RESULTS
551,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,"In BRCA2, we observed multiple BCCRs spanning c.1 to c.596 (BCCR1; RHR = 1.71; 95% CI, 1.06-2.78; P = .03), c.772 to c.1806 (BCCR1'; RHR = 1.63; 95% CI, 1.10-2.40; P = .01), and c.7394 to c.8904 (BCCR2; RHR = 2.31; 95% CI, 1.69-3.16; P = .00002).",False,RESULTS
552,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,"We also identified 3 OCCRs: the first (OCCR1) spanned c.3249 to c.5681 that was adjacent to c.5946delT (6174delT; RHR = 0.51; 95% CI, 0.44-0.60; P = 6 × 10(-17)).",False,RESULTS
553,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,"The second OCCR spanned c.6645 to c.7471 (OCCR2; RHR = 0.57; 95% CI, 0.41-0.80; P = .001).",False,RESULTS
554,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,"Mutations conferring nonsense-mediated decay were associated with differential breast or ovarian cancer risks and an earlier age of breast cancer diagnosis for both BRCA1 and BRCA2 mutation carriers.   
",True,CONCLUSIONS
555,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,CONCLUSIONS AND RELEVANCE Breast and ovarian cancer risks varied by type and location of BRCA1/2 mutations.,True,CONCLUSIONS
556,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,"With appropriate validation, these data may have implications for risk assessment and cancer prevention decision making for carriers of BRCA1 and BRCA2 mutations.",False,CONCLUSIONS
557,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,"CONTEXT Diagnostic lumbar punctures (LPs), commonly used to rule out meningitis, are associated with adverse events.   
",False,BACKGROUND
558,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,"OBJECTIVE To systematically review the evidence about diagnostic LP techniques that may decrease the risk of adverse events and the evidence about test accuracy of cerebrospinal fluid (CSF) analysis in adult patients with suspected bacterial meningitis.   
",False,OBJECTIVE
559,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,"DATA SOURCES We searched the Cochrane Library, MEDLINE (using Ovid and PubMed) from 1966 to January 2006 and EMBASE from 1980 to January 2006 without language restrictions to identify relevant studies and identified others from the bibliographies of retrieved articles.   ",False,METHODS
560,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,STUDY SELECTION We included randomized trials of patients aged 18 years or older undergoing interventions to facilitate a successful diagnostic LP or to potentially reduce adverse events.,False,METHODS
561,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,"Studies assessing the accuracy of biochemical analysis of the CSF for possible bacterial meningitis were also identified.   
",False,METHODS
562,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,DATA EXTRACTION Two investigators independently appraised study quality and extracted relevant data.,False,METHODS
563,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,"For studies of the LP technique, data on the intervention and the outcome were extracted.",False,METHODS
564,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,"For studies of the laboratory diagnosis of bacterial meningitis, data on the reference standard and test accuracy were extracted.   
",False,METHODS
565,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,DATA SYNTHESIS We found 15 randomized trials.,False,RESULTS
566,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,A random-effects model was used for quantitative synthesis.,False,RESULTS
567,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,"Five studies of 587 patients compared atraumatic needles with standard needles and found a nonsignificant decrease in the odds of headache with an atraumatic needle (absolute risk reduction [ARR], 12.3%; 95% confidence interval [CI], -1.72% to 26.2%).",False,RESULTS
568,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,"Reinsertion of the stylet before needle removal decreased the risk of headache (ARR, 11.3%; 95% CI, 6.50%-16.2%).",False,RESULTS
569,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,"The combined results from 4 studies of 717 patients showed a nonsignificant decrease in headache in patients who were mobilized after LP (ARR, 2.9%; 95% CI, -3.4 to 9.3%).",False,RESULTS
570,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,Four studies on the accuracy of biochemical analysis of CSF in patients with suspected meningitis met inclusion criteria.,False,RESULTS
571,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,"A CSF-blood glucose ratio of 0.4 or less (likelihood ratio [LR], 18; 95% CI, 12-27]), CSF white blood cell count of 500/muL or higher (LR, 15; 95% CI, 10-22), and CSF lactate level of 31.53 mg/dL or more (> or =3.5 mmol/L; LR, 21; 95% CI, 14-32) accurately diagnosed bacterial meningitis.   
",True,RESULTS
572,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,"CONCLUSIONS These data suggest that small-gauge, atraumatic needles may decrease the risk of headache after diagnostic LP.",False,CONCLUSIONS
573,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,Reinsertion of the stylet before needle removal should occur and patients do not require bed rest after the procedure.,False,CONCLUSIONS
574,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,Future research should focus on evaluating interventions to optimize the success of a diagnostic LP and to enhance training in procedural skills.,False,CONCLUSIONS
575,Bariatric surgery increases rates of colorectal cancer.,BACKGROUND Bariatric surgery is becoming a more widespread treatment for obesity.,False,BACKGROUND
576,Bariatric surgery increases rates of colorectal cancer.,Comprehensive evidence of the long-term effects of contemporary surgery on a broad range of clinical outcomes in large populations treated in routine clinical practice is lacking.,False,BACKGROUND
577,Bariatric surgery increases rates of colorectal cancer.,"The objective of this study was to measure the association between bariatric surgery, weight, body mass index, and obesity-related co-morbidities.   
",False,BACKGROUND
578,Bariatric surgery increases rates of colorectal cancer.,METHODS AND FINDINGS This was an observational retrospective cohort study using data from the United Kingdom Clinical Practice Research Datalink.,False,METHODS
579,Bariatric surgery increases rates of colorectal cancer.,"All 3,882 patients registered in the database and with bariatric surgery on or before 31 December 2014 were included and matched by propensity score to 3,882 obese patients without surgery.",False,METHODS
580,Bariatric surgery increases rates of colorectal cancer.,"The main outcome measures were change in weight and body mass index over 4 y; incident diagnoses of type 2 diabetes mellitus (T2DM), hypertension, angina, myocardial infarction (MI), stroke, fractures, obstructive sleep apnoea, and cancer; mortality; and resolution of hypertension and T2DM.",False,METHODS
581,Bariatric surgery increases rates of colorectal cancer.,"Weight measures were available for 3,847 patients between 1 and 4 mo, 2,884 patients between 5 and 12 mo, and 2,258 patients between 13 and 48 mo post-procedure.",False,RESULTS
582,Bariatric surgery increases rates of colorectal cancer.,"Bariatric surgery patients exhibited rapid weight loss for the first four postoperative months, at a rate of 4.98 kg/mo (95% CI 4.88-5.08).",False,RESULTS
583,Bariatric surgery increases rates of colorectal cancer.,Slower weight loss was sustained to the end of 4 y. Gastric bypass (6.56 kg/mo) and sleeve gastrectomy (6.29 kg/mo) were associated with greater initial weight reduction than gastric banding (2.77 kg/mo).,False,RESULTS
584,Bariatric surgery increases rates of colorectal cancer.,"Protective hazard ratios (HRs) were detected for bariatric surgery for incident T2DM, 0.68 (95% CI 0.55-0.83); hypertension, 0.35 (95% CI 0.27-0.45); angina, 0.59 (95% CI 0.40-0.87);MI, 0.28 (95% CI 0.10-0.74); and obstructive sleep apnoea, 0.55 (95% CI 0.40-0.87).",False,RESULTS
585,Bariatric surgery increases rates of colorectal cancer.,"Strong associations were found between bariatric surgery and the resolution of T2DM, with a HR of 9.29 (95% CI 6.84-12.62), and between bariatric surgery and the resolution of hypertension, with a HR of 5.64 (95% CI 2.65-11.99).",False,RESULTS
586,Bariatric surgery increases rates of colorectal cancer.,"No association was detected between bariatric surgery and fractures, cancer, or stroke.",True,RESULTS
587,Bariatric surgery increases rates of colorectal cancer.,"Effect estimates for mortality found no protective association with bariatric surgery overall, with a HR of 0.97 (95% CI 0.66-1.43).",False,RESULTS
588,Bariatric surgery increases rates of colorectal cancer.,"The data used were recorded for the management of patients in primary care and may be subject to inaccuracy, which would tend to lead to underestimates of true relative effect sizes.   
",False,CONCLUSIONS
589,Bariatric surgery increases rates of colorectal cancer.,"CONCLUSIONS Bariatric surgery as delivered in the UK healthcare system is associated with dramatic weight loss, sustained at least 4 y after surgery.",False,CONCLUSIONS
590,Bariatric surgery increases rates of colorectal cancer.,"This weight loss is accompanied by substantial improvements in pre-existing T2DM and hypertension, as well as a reduced risk of incident T2DM, hypertension, angina, MI, and obstructive sleep apnoea.",False,CONCLUSIONS
591,Bariatric surgery increases rates of colorectal cancer.,Widening the availability of bariatric surgery could lead to substantial health benefits for many people who are morbidly obese.,False,CONCLUSIONS
592,Bariatric surgery increases rates of postmenopausal breast cancer.,BACKGROUND Bariatric surgery is becoming a more widespread treatment for obesity.,False,BACKGROUND
593,Bariatric surgery increases rates of postmenopausal breast cancer.,Comprehensive evidence of the long-term effects of contemporary surgery on a broad range of clinical outcomes in large populations treated in routine clinical practice is lacking.,False,BACKGROUND
594,Bariatric surgery increases rates of postmenopausal breast cancer.,"The objective of this study was to measure the association between bariatric surgery, weight, body mass index, and obesity-related co-morbidities.   
",False,BACKGROUND
595,Bariatric surgery increases rates of postmenopausal breast cancer.,METHODS AND FINDINGS This was an observational retrospective cohort study using data from the United Kingdom Clinical Practice Research Datalink.,False,METHODS
596,Bariatric surgery increases rates of postmenopausal breast cancer.,"All 3,882 patients registered in the database and with bariatric surgery on or before 31 December 2014 were included and matched by propensity score to 3,882 obese patients without surgery.",False,METHODS
597,Bariatric surgery increases rates of postmenopausal breast cancer.,"The main outcome measures were change in weight and body mass index over 4 y; incident diagnoses of type 2 diabetes mellitus (T2DM), hypertension, angina, myocardial infarction (MI), stroke, fractures, obstructive sleep apnoea, and cancer; mortality; and resolution of hypertension and T2DM.",False,METHODS
